Buy,Sell,Value
27,14,1552.15
27,15,1509.22
27,16,792.78
27,17,690.36
27,18,797.12
27,19,956.19
27,20,53.63
27,21,66.36
27,22,41.55
27,23,108.27
27,24,323.41
27,25,396.12
27,26,246.95
28,0,1673.06
28,1,1673.06
28,2,1673.06
28,3,1673.06
28,4,1673.06
28,5,1641.18
28,6,1380.16
28,7,1578.85
28,8,1212.42
28,9,1001.58
28,10,292.63
28,11,506.02
28,12,790.54
28,13,592.05
28,14,1762.03
28,15,1404.13
28,16,659.62
28,17,554.54
28,18,755.51
28,19,931.00
28,20,484.31
28,21,120.13
28,22,68.21
28,23,188.62
28,24,434.01
28,25,527.90
28,26,386.92
28,27,151.22
29,0,1673.06
29,1,1673.06
29,2,1673.06
29,3,1673.06
29,4,1673.06
29,5,1641.18
29,6,1380.16
29,7,1578.85
29,8,935.03
29,9,751.27
29,10,67.02
29,11,244.81
29,12,480.51
29,13,323.07
29,14,1290.34
29,15,998.49
29,16,412.19
29,17,324.30
29,18,494.61
29,19,644.39
29,20,396.18
29,21,186.49
29,22,147.57
29,23,576.18
29,24,890.22
29,25,1087.65
29,26,1026.61
29,27,696.15
29,28,676.47
30,0,1673.06
30,1,1673.06
30,2,1673.06
30,3,1673.06
30,4,1673.06
30,5,1641.18
30,6,1380.16
30,7,1578.85
30,8,935.03
30,9,751.27
30,10,169.18
30,11,364.59
30,12,622.67
30,13,446.22
30,14,1506.28
30,15,1081.03
30,16,581.18
30,17,481.57
30,18,674.02
30,19,841.51
30,20,482.21
30,21,333.66
30,22,286.31
30,23,670.64
30,24,988.95
30,25,1440.59
30,26,1577.49
30,27,1110.59
30,28,928.60
30,29,789.64
31,0,2101.34
31,1,2101.34
31,2,2101.34
31,3,2101.34
31,4,2101.34
31,5,2052.91
31,6,1643.95
31,7,1864.71
31,8,1149.82
31,9,945.75
31,10,300.73
31,11,518.59
31,12,806.22
31,13,610.17
31,14,1649.12
31,15,1165.68
31,16,646.54
31,17,542.80
31,18,744.04
31,19,919.91
31,20,546.61
31,21,367.11
31,22,319.05
31,23,714.76
31,24,1045.27
31,25,1431.45
31,26,1574.92
31,27,1115.95
31,28,936.98
31,29,795.03
31,30,631.82
32,0,2101.34
32,1,2101.34
32,2,2101.34
32,3,2101.34
32,4,2101.34
32,5,2052.91
32,6,1661.85
32,7,1884.12
32,8,1164.27
32,9,958.80
32,10,309.07
32,11,446.86
32,12,720.61
32,13,485.22
32,14,1642.39
32,15,1174.28
32,16,548.54
32,17,450.78
32,18,640.07
32,19,805.33
32,20,315.89
32,21,156.26
32,22,117.12
32,23,449.93
32,24,732.13
32,25,1280.39
32,26,1529.09
32,27,1074.59
32,28,935.50
32,29,748.65
32,30,667.03
32,31,926.43
33,0,2101.34
33,1,2101.34
33,2,2101.34
33,3,2101.34
33,4,2101.34
33,5,2052.91
33,6,1661.85
33,7,1884.12
33,8,1164.27
33,9,958.80
33,10,238.97
33,11,251.92
33,12,489.45
33,13,286.73
33,14,1285.22
33,15,874.22
33,16,337.29
33,17,219.44
33,18,377.88
33,19,516.71
33,20,110.78
33,21,24.03
33,22,-10.29
33,23,283.36
33,24,533.35
33,25,1016.51
33,26,1140.08
33,27,762.58
33,28,1054.32
33,29,831.57
33,30,810.77
33,31,1101.98
33,32,1252.09
34,0,2101.34
34,1,2101.34
34,2,2101.34
34,3,2101.34
34,4,2101.34
34,5,1973.87
34,6,1593.01
34,7,1809.48
34,8,1108.57
34,9,908.53
34,10,209.12
34,11,222.13
34,12,444.84
34,13,248.27
34,14,1215.73
34,15,860.10
34,16,327.32
34,17,210.25
34,18,367.48
34,19,505.24
34,20,81.17
34,21,82.58
34,22,54.04
34,23,367.58
34,24,648.50
34,25,1405.51
34,26,1391.77
34,27,1067.79
34,28,1405.92
34,29,1234.05
34,30,1443.84
34,31,1866.05
34,32,2079.20
34,33,2426.96
35,0,2101.34
35,1,2101.34
35,2,2101.34
35,3,2101.34
35,4,2101.34
35,5,1973.87
35,6,1527.56
35,7,1738.52
35,8,1055.75
35,9,860.87
35,10,180.34
35,11,193.27
35,12,410.78
