,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.8826155069909,-573.2202193499726,-596.7511528305661,-88.81654218229369,-138.7685707965611,-285.1076275595064,-622.2044574078161,-676.7351498238972,-667.2497147165406,-671.5018821986483,-561.9052856132942,-580.2490857661058,-456.0444565759134,-518.3339321065607,-591.1446441104971,-551.134333877009,-617.0530528279218,-614.5609235973741,-636.7703854037649,-647.6415440262692,-486.5737146610471,-474.30956670752494,-378.8854259717161,-392.29509867176927,-323.3663727804561,-431.8982732297459,-453.7417941994176,-541.7717549755098,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-491.24802694679045,-499.9350433576735,-509.9350207324878,-452.4681752283445,-472.6191086180646,-470.9809229624249,-471.50924207747556,-476.4299252623804,-519.5441996233701,-628.3095041568573,-657.0896653032252,-659.2342503485906,-659.3644135783236,-658.523406277513,-654.7358925043079,-656.2395770425192,-655.907176780794,-656.0512569967995,-640.004940140583,-614.0667945938114,-614.083650333881,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.1765318647982,-589.1871127845243,-589.1871127845243,-589.1923479157648,-589.1923479157648,-589.1975148082399,-589.1954417442613,-589.1703359004558,-589.1812060010861,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153
1,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.8826155069909,-573.2202193499726,-596.7511528305661,-88.81654218229369,-138.7685707965611,-285.1076275595064,-622.2044574078161,-676.7351498238972,-667.2497147165406,-671.5018821986483,-561.9052856132942,-580.2490857661058,-456.0444565759134,-518.3339321065607,-591.1446441104971,-551.134333877009,-617.0530528279218,-614.5609235973741,-636.7703854037649,-647.6415440262692,-486.5737146610471,-474.30956670752494,-378.8854259717161,-392.29509867176927,-323.3663727804561,-431.8982732297459,-453.7417941994176,-541.7717549755098,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-491.24802694679045,-499.9350433576735,-509.9350207324878,-452.4681752283445,-472.6191086180646,-470.9809229624249,-471.50924207747556,-476.4299252623804,-519.5441996233701,-628.3095041568573,-657.0896653032252,-659.2342503485906,-659.3644135783236,-658.523406277513,-654.7358925043079,-656.2395770425192,-655.907176780794,-656.0512569967995,-640.004940140583,-614.0667945938114,-614.083650333881,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.1765318647982,-589.1871127845243,-589.1871127845243,-589.1923479157648,-589.1923479157648,-589.1975148082399,-589.1954417442613,-589.1703359004558,-589.1812060010861,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153
2,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.8826155069909,-573.2202193499726,-596.7511528305661,-88.81654218229369,-138.7685707965611,-285.1076275595064,-622.2044574078161,-676.7351498238972,-667.2497147165406,-671.5018821986483,-561.9052856132942,-580.2490857661058,-456.0444565759134,-518.3339321065607,-591.1446441104971,-551.134333877009,-617.0530528279218,-614.5609235973741,-636.7703854037649,-647.6415440262692,-486.5737146610471,-474.30956670752494,-378.8854259717161,-392.29509867176927,-323.3663727804561,-431.8982732297459,-453.7417941994176,-541.7717549755098,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-491.24802694679045,-499.9350433576735,-509.9350207324878,-452.4681752283445,-472.6191086180646,-470.9809229624249,-471.50924207747556,-476.4299252623804,-519.5441996233701,-628.3095041568573,-657.0896653032252,-659.2342503485906,-659.3644135783236,-658.523406277513,-654.7358925043079,-656.2395770425192,-655.907176780794,-656.0512569967995,-640.004940140583,-614.0667945938114,-614.083650333881,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.1765318647982,-589.1871127845243,-589.1871127845243,-589.1923479157648,-589.1923479157648,-589.1975148082399,-589.1954417442613,-589.1703359004558,-589.1812060010861,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153
3,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.8826155069909,-573.2202193499726,-596.7511528305661,-88.81654218229369,-138.7685707965611,-285.1076275595064,-622.2044574078161,-676.7351498238972,-667.2497147165406,-671.5018821986483,-561.9052856132942,-580.2490857661058,-456.0444565759134,-518.3339321065607,-591.1446441104971,-551.134333877009,-617.0530528279218,-614.5609235973741,-636.7703854037649,-647.6415440262692,-486.5737146610471,-474.30956670752494,-378.8854259717161,-392.29509867176927,-323.3663727804561,-431.8982732297459,-453.7417941994176,-541.7717549755098,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-491.24802694679045,-499.9350433576735,-509.9350207324878,-452.4681752283445,-472.6191086180646,-470.9809229624249,-471.50924207747556,-476.4299252623804,-519.5441996233701,-628.3095041568573,-657.0896653032252,-659.2342503485906,-659.3644135783236,-658.523406277513,-654.7358925043079,-656.2395770425192,-655.907176780794,-656.0512569967995,-640.004940140583,-614.0667945938114,-614.083650333881,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.1765318647982,-589.1871127845243,-589.1871127845243,-589.1923479157648,-589.1923479157648,-589.1975148082399,-589.1954417442613,-589.1703359004558,-589.1812060010861,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153
4,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.8826155069909,-573.2202193499726,-596.7511528305661,-88.81654218229369,-138.7685707965611,-285.1076275595064,-622.2044574078161,-676.7351498238972,-667.2497147165406,-671.5018821986483,-561.9052856132942,-580.2490857661058,-456.0444565759134,-518.3339321065607,-591.1446441104971,-551.134333877009,-617.0530528279218,-614.5609235973741,-636.7703854037649,-647.6415440262692,-486.5737146610471,-474.30956670752494,-378.8854259717161,-392.29509867176927,-323.3663727804561,-431.8982732297459,-453.7417941994176,-541.7717549755098,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-491.24802694679045,-499.9350433576735,-509.9350207324878,-452.4681752283445,-472.6191086180646,-470.9809229624249,-471.50924207747556,-476.4299252623804,-519.5441996233701,-628.3095041568573,-657.0896653032252,-659.2342503485906,-659.3644135783236,-658.523406277513,-654.7358925043079,-656.2395770425192,-655.907176780794,-656.0512569967995,-640.004940140583,-614.0667945938114,-614.083650333881,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.1765318647982,-589.1871127845243,-589.1871127845243,-589.1923479157648,-589.1923479157648,-589.1975148082399,-589.1954417442613,-589.1703359004558,-589.1812060010861,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153
5,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.8826155069909,-573.2202193499726,-596.7511528305661,-88.81654218229369,-138.7685707965611,-285.1076275595064,-622.2044574078161,-676.7351498238972,-667.2497147165406,-671.5018821986483,-561.9052856132942,-580.2490857661058,-456.0444565759134,-518.3339321065607,-591.1446441104971,-551.134333877009,-617.0530528279218,-614.5609235973741,-636.7703854037649,-647.6415440262692,-486.5737146610471,-474.30956670752494,-378.8854259717161,-392.29509867176927,-323.3663727804561,-431.8982732297459,-453.7417941994176,-541.7717549755098,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-491.24802694679045,-499.9350433576735,-509.9350207324878,-452.4681752283445,-472.6191086180646,-470.9809229624249,-471.50924207747556,-476.4299252623804,-519.5441996233701,-628.3095041568573,-657.0896653032252,-659.2342503485906,-659.3644135783236,-658.523406277513,-654.7358925043079,-656.2395770425192,-655.907176780794,-656.0512569967995,-640.004940140583,-614.0667945938114,-614.083650333881,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.1765318647982,-589.1871127845243,-589.1871127845243,-589.1923479157648,-589.1923479157648,-589.1975148082399,-589.1954417442613,-589.1703359004558,-589.1812060010861,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153,-589.4362788615153
6,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-829.2692194307317,-739.2993465461203,-495.6111056302675,-573.0055409971892,-596.561813687698,-88.33361270226624,-138.32821919941136,-284.771501710773,-622.0906410201405,-676.6597414562181,-667.1818275804294,-671.4359184298122,-561.8015268286888,-580.1607020389124,-455.9158733548009,-518.2429231728572,-591.0749197166724,-551.0612311151688,-617.0116676408428,-614.5286432522424,-636.7444692824789,-647.6201910825762,-486.5237632357186,-474.2538944540147,-371.08046057868154,-385.11592075526914,-314.2634897530659,-425.4824612620598,-449.09104140559606,-540.7630348360744,-553.1205411048061,-608.9922855034855,-559.442906452154,-522.763546436368,-527.1825262078838,-491.96651407348844,-495.04756084159095,-502.0990573584351,-511.75081631892493,-455.56426752054637,-474.83684629864206,-473.7500484964761,-474.18053129012725,-478.79775865684076,-520.9071422233111,-629.3110410360624,-657.9593634720284,-659.775105242803,-659.8222668749842,-659.0293580362869,-654.7358925043079,-656.552909360246,-656.1748528732403,-656.2984501917531,-640.2159767085469,-614.2770096190997,-614.7628234370083,-614.3371134695195,-616.7497440807921,-616.7338767330793,-616.4663462419501,-617.0330861390479,-617.1632640519796,-617.1905440035205,-617.1904311247717,-587.8749874090101,-586.161295754293,-587.2410905988477,-588.6574185642347,-588.967462470714,-588.9523268956684,-589.0147786775902,-589.1022127318183,-589.1045240525078,-589.4764194479011,-589.4784608822418,-589.4784608822418,-589.4805706581,-589.4805706581,-589.482652933506,-589.4818174816031,-589.4744448546478,-589.4790033443909,-588.8082007195744,-588.8131977537514,-588.8111235761045,-589.6762873051322,-589.6762873051322,-589.6762873051322,-589.6762873051322,-589.6762873051322
7,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-940.9258232424934,-881.33307516375,-830.6376946325236,-740.3839869117118,-500.69452393748895,-576.0712043353351,-598.4241844165326,-92.19632702587069,-140.10539828448998,-285.8769808804213,-625.8210320262731,-676.8154105143332,-667.2576599522208,-671.1340979462336,-561.4867560773646,-579.9203226667179,-455.6000290510815,-518.0304528053933,-590.8820882923287,-550.8484555262771,-617.3843250014693,-614.4409004624054,-636.6652019594125,-647.5731569158394,-486.36882542941834,-474.70540951246414,-372.22009841990166,-386.0386616810253,-315.4334848150961,-426.30708663607885,-449.64581364001,-540.8569948674885,-553.3182713374058,-609.0697113980156,-559.4634806689533,-522.7835186808218,-527.1989596281416,-492.00822888229135,-495.0806270800803,-502.11035592782406,-511.7610113651135,-455.55936453636855,-474.83360919140165,-473.7444667555222,-474.1753676941634,-478.7932481625936,-520.9050183527734,-629.3098031592477,-657.9624355811205,-659.7740912834162,-659.8212951470879,-659.028279079614,-654.7355198588264,-656.552586548698,-656.1745654459937,-656.2981832910037,-640.2157550847843,-614.2767960579981,-614.7626827053995,-614.3369557422232,-616.74962352176,-616.7337579204271,-616.4662266938693,-617.0330082239768,-617.1634368413514,-617.1905286508115,-617.1904172496569,-587.8751234174133,-586.1614610866245,-587.2411868972571,-588.657489167623,-588.967507842328,-588.9523832517768,-589.0148710683607,-589.1022628518564,-589.10456204219,-589.4764428644171,-589.4784528057346,-589.4784528057346,-589.4805634239135,-589.4805634239135,-589.48264657122,-589.4818109879725,-589.4744360482698,-589.4789965665668,-588.8081921798971,-588.8131911323147,-588.8111165630785,-589.6762840518436,-589.6762840518436,-589.6762840518436,-589.6762840518436,-589.6762840518436
8,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-938.9353664589003,-899.3167146651242,-848.4504743589289,-747.2100797486332,-494.4827722520928,-572.3254806672937,-595.3293680011668,-83.48980563778537,-132.05449786139832,-280.62326132534446,-627.4540734308343,-675.6346648234779,-666.0927209471072,-670.191200381873,-560.625820694033,-579.3144204074275,-454.858091341107,-517.5701553397136,-590.5006449359557,-550.4428131840411,-617.4486402547234,-614.2786064826191,-636.526185905515,-647.4910909466738,-486.0965551879704,-474.76346264547885,-372.36353699904083,-386.15737070982357,-315.58400266212686,-426.4131732683487,-449.7171841312425,-540.8690826634925,-553.3435876815352,-609.0799565160398,-559.4661131792025,-522.7858779066083,-527.2009008295379,-492.01327589044337,-495.0844650865659,-502.11163724209746,-511.76202685644074,-455.55107194951114,-474.82814271763937,-473.7350804596987,-474.1666974139875,-478.78569029080745,-520.9014616014869,-629.3077308406641,-657.9627161783897,-659.7723959255945,-659.819671956538,-659.0264789478972,-654.7348981635159,-656.5520487790561,-656.1740870382881,-656.2977396592255,-640.2153869892055,-614.2764417198994,-614.762449205148,-614.3366941582493,-616.7494235797601,-616.7335608747269,-616.4660284284912,-617.0328790051692,-617.1634519704432,-617.1905031889976,-617.1903942383703,-587.8751353260375,-586.1614755627917,-587.2411953289528,-588.6574953495133,-588.9675118149744,-588.9523881862048,-589.0148791579111,-589.1022672402676,-589.10456536849,-589.4764449147212,-589.4784394111934,-589.4784394111934,-589.4805514263251,-589.4805514263251,-589.4826360196398,-589.4818002185604,-589.4744214432676,-589.4789853258371,-588.80817801721,-588.8131801509423,-588.8111049322777,-589.6762786564052,-589.6762786564052,-589.6762786564052,-589.6762786564052,-589.6762786564052
9,-990.0,-990.0,-990.0,-990.0,-990.0,-980.2897389977645,-961.0671471195517,-938.9353664589003,-899.3167146651242,-853.3641815154974,-741.4814959399561,-532.466532024876,-593.1797889557284,-614.4564435553311,-324.6434171886914,-351.68997400578655,-451.298228908521,-626.5320479551094,-686.6839276079307,-679.5353147009338,-683.1861164102663,-568.2517136792646,-580.9441118770288,-449.79801708230383,-476.1259361506254,-558.5432323776378,-516.2631184085609,-598.8194973529289,-607.0019663336674,-630.7379322325983,-643.0684426035158,-473.3579439883644,-459.50913765923735,-408.49603453728275,-419.42013709402846,-357.75973295945107,-456.139091350926,-471.0406470597925,-536.9473238462109,-562.0043730901489,-613.1736943904727,-558.325487161596,-521.68840556519,-526.2515158999889,-494.50974379894546,-497.18086321095876,-501.33201069389804,-511.1085769681321,-454.49233766215815,-474.3249197125554,-475.1152379023559,-475.47871080667375,-479.9029543765356,-521.5114324958188,-629.654098845363,-658.2571085986076,-660.0892946486267,-660.1222415131905,-659.3608557151786,-654.6218070625606,-656.4658360229665,-656.0909246478167,-656.2209403298343,-640.1518093494329,-614.2136840571817,-614.7113313054222,-614.277256956202,-616.7031007853652,-616.68601861564,-616.4155334124035,-616.9907660647314,-617.1249711221177,-617.1591112530543,-617.1589662113325,-587.8249401982193,-586.093772217629,-587.1909319151692,-588.6205537143865,-588.9384976585193,-588.9197098094289,-588.9839933109629,-589.0739664682859,-589.0789349153042,-589.4580623405286,-589.4626087570015,-589.4626087570015,-589.4648648212213,-589.4648648212213,-589.4670914099434,-589.4661976891629,-589.4553767969542,-589.4600608303118,-588.7818695229206,-588.7878536574582,-588.7821089464862,-589.6660389760902,-589.6660389760902,-589.6660389760902,-589.6660389760902,-589.6660389760902
